name,followers,uri,popularity,genres
John Legend,6666996,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,75,"neo soul, pop, pop soul, urban contemporary"
Gwen Stefani,6393144,spotify:artist:4yiQZ8tQPux8cPriYMWUFP,73,"dance pop, pop"
Parker McCollum,452329,spotify:artist:0Z8XVUAOBPM4x12wKnFHEQ,68,"classic texas country, contemporary country, modern country pop, texas country"
Avril Lavigne,10697526,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,76,"canadian pop, candy pop, dance pop, pop"
Gregory Alan Isakov,884014,spotify:artist:5sXaGoRLSpd7VeyZrLkKwt,70,"indie folk, pop folk, stomp and flutter, stomp and holler"
Sam Hunt,2276958,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38,69,"contemporary country, country, country pop, modern country rock"
Burna Boy,8517338,spotify:artist:3wcj11K77LjEY1PkEazffa,79,"afrobeats, azontobeats, dancehall, nigerian hip hop, nigerian pop"
Kelly Clarkson,10274785,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,73,"dance pop, pop, talent show"
Madison Beer,6368784,spotify:artist:2kRfqPViCqYdSGhYSM9R0Q,76,pop
Whitney Houston,9901782,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,76,"dance pop, pop"
ROSALÍA,8071025,spotify:artist:7ltDVBr6mKbRvohxheJ9h1,78,"pop, r&b en espanol"
RAYE,1322004,spotify:artist:5KKpBU5eC2tJDzf0wmlRp2,79,"uk contemporary r&b, uk pop"
Prince Royce,7681604,spotify:artist:3MHaV05u0io8fQbZ2XPtlC,76,"bachata, latin hip hop, latin pop, urbano latino"
Falling In Reverse,3021790,spotify:artist:2CmaKO2zEGJ1NWpS1yfVGz,71,"alternative metal, pop punk, rap metal"
